               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 106,            0.018223,            0.016169,           0.0018846,             0.86473,             0.81312,             0.81321,             0.52731,            0.021832,            0.020427,              0.0032,           0.0099389,           0.0099389,           0.0099389
                 107,            0.017705,            0.015665,           0.0016638,             0.80793,             0.80982,             0.80358,             0.51432,            0.021926,            0.019904,           0.0034664,           0.0099378,           0.0099378,           0.0099378
                 108,             0.01863,            0.016066,            0.001599,              0.9375,             0.79179,             0.85528,             0.54803,            0.022019,            0.020199,           0.0031986,           0.0099366,           0.0099366,           0.0099366
                 109,            0.016745,            0.015757,           0.0016332,             0.90333,             0.79671,             0.84419,             0.54395,            0.021883,            0.020795,            0.003282,           0.0099354,           0.0099354,           0.0099354
                 110,            0.016839,            0.014591,             0.00151,             0.92212,             0.78699,             0.83835,             0.54001,            0.022373,            0.021007,           0.0031365,           0.0099342,           0.0099342,           0.0099342
                 111,            0.018276,            0.016475,           0.0015944,             0.90966,             0.78673,             0.83571,             0.54016,            0.022278,            0.020325,           0.0034322,            0.009933,            0.009933,            0.009933
                 112,            0.018132,            0.015573,           0.0016956,             0.90431,             0.76764,             0.83532,             0.53661,            0.021794,            0.020859,            0.003047,           0.0099318,           0.0099318,           0.0099318
                 113,            0.017516,             0.01569,           0.0016613,             0.89699,             0.77999,             0.82219,             0.52426,            0.022069,            0.021293,           0.0037737,           0.0099305,           0.0099305,           0.0099305
                 114,            0.018166,             0.01566,           0.0015569,             0.89047,             0.82709,             0.84259,             0.54242,            0.022304,            0.020388,           0.0034528,           0.0099293,           0.0099293,           0.0099293
                 115,            0.017791,            0.015952,             0.00156,              0.9063,             0.80069,             0.83925,             0.54024,            0.021907,            0.020454,            0.003211,            0.009928,            0.009928,            0.009928
                 116,            0.017432,             0.01507,           0.0014574,             0.89794,             0.80939,             0.85724,              0.5535,            0.021763,            0.020992,           0.0037101,           0.0099268,           0.0099268,           0.0099268
                 117,            0.016309,            0.015437,           0.0023791,             0.87723,             0.79979,              0.8303,             0.53946,            0.022165,            0.021633,           0.0036106,           0.0099255,           0.0099255,           0.0099255
                 118,            0.018064,            0.014959,           0.0017196,             0.89752,             0.80958,             0.82938,             0.54029,            0.021961,            0.020932,           0.0030719,           0.0099242,           0.0099242,           0.0099242
                 119,            0.017737,            0.015388,           0.0013961,             0.92356,             0.76274,             0.82779,             0.53235,            0.022491,            0.021672,           0.0032064,           0.0099229,           0.0099229,           0.0099229
                 120,            0.016645,            0.015127,           0.0017033,             0.91654,             0.76982,             0.82282,             0.51778,            0.021981,            0.021721,           0.0033018,           0.0099216,           0.0099216,           0.0099216
                 121,             0.01687,            0.015435,           0.0022467,             0.90327,             0.80845,             0.84197,             0.54419,            0.022064,            0.021392,           0.0028304,           0.0099203,           0.0099203,           0.0099203
                 122,            0.017725,            0.014954,           0.0020984,             0.94091,             0.79243,             0.84019,             0.54025,            0.022186,            0.021368,           0.0033564,            0.009919,            0.009919,            0.009919
                 123,            0.017595,            0.015309,           0.0018186,              0.9049,             0.79616,             0.82693,             0.52941,            0.021892,            0.020888,           0.0029994,           0.0099176,           0.0099176,           0.0099176
                 124,            0.016845,            0.015753,           0.0017621,              0.9273,             0.78181,             0.83482,             0.53621,            0.021834,             0.02048,           0.0030675,           0.0099163,           0.0099163,           0.0099163
                 125,            0.017856,            0.015246,           0.0015407,             0.91638,              0.7674,             0.83799,             0.54539,            0.021976,             0.02049,           0.0037568,           0.0099149,           0.0099149,           0.0099149
